시도코드,시도,시군구코드,시군구,읍면동,읍면동수정,ID,CD,선거인수,투표수,더불어민주당 이재명,국민의힘 윤석열,정의당 심상정,기본소득당 오준호,국가혁명당 허경영,노동당 이백윤,새누리당 옥은호,신자유민주연합 김경재,우리공화당 조원진,진보당 김재연,통일한국당 이경희,한류연합당 김민찬,계,무효 투표수,기권수,,,,,,,,,,,,,std,민주,국힘,정의,기본소득,국가혁명,노동,새누리,신자유,우리공화,진보,통일한국,한류연합,3위
1100,서울특별시,1103,용산구,이태원제1동,이태원1동,서울특별시_용산구_이태원1동,1103065,5787,4139,1517,2441,120,3,25,2,0,1,0,2,0,0,4111,28,1648,36.90099732,59.37728047,2.918997811,0.072974945,0.608124544,0.048649964,0,0.024324982,0,0.048649964,0,0,18.40043641,2,1,3,5,4,6,9,8,9,6,9,9,정의
1100,서울특별시,1103,용산구,이태원제2동,이태원2동,서울특별시_용산구_이태원2동,1103066,7333,5048,1984,2790,154,5,30,2,1,2,8,3,3,2,4984,64,2285,39.80738363,55.97913323,3.08988764,0.100321027,0.601926164,0.040128411,0.020064205,0.040128411,0.160513644,0.060192616,0.060192616,0.040128411,18.01600179,2,1,3,6,4,9,12,9,5,7,7,9,정의
1100,서울특별시,1103,용산구,청파동,청파동,서울특별시_용산구_청파동,1103071,14261,9913,4920,4385,394,6,65,5,0,3,8,9,5,7,9807,106,4348,50.16824717,44.71296013,4.017538493,0.061180789,0.662791883,0.050983991,0,0.030590395,0.081574386,0.091771184,0.050983991,0.071377587,17.55794799,1,2,3,8,4,9,12,11,6,5,9,7,정의
1100,서울특별시,1103,용산구,한강로동,한강로동,서울특별시_용산구_한강로동,1103073,16116,12170,3795,7863,355,2,39,1,1,4,4,3,2,0,12069,101,3946,31.44419587,65.15038528,2.941420167,0.016571381,0.323141934,0.008285691,0.008285691,0.033142762,0.033142762,0.024857072,0.016571381,0,19.16754353,2,1,3,8,4,10,10,5,5,7,8,12,정의
1100,서울특별시,1103,용산구,한남동,한남동,서울특별시_용산구_한남동,1103074,15402,10290,3403,6486,252,4,44,1,0,6,6,4,0,3,10209,81,5112,33.33333333,63.53217749,2.468410226,0.039181115,0.430992262,0.009795279,0,0.058771672,0.058771672,0.039181115,0,0.029385836,18.97455554,2,1,3,7,4,10,11,5,5,7,11,9,정의
1100,서울특별시,1103,용산구,효창동,효창동,서울특별시_용산구_효창동,1103058,8076,6423,2856,3276,193,1,28,1,0,1,2,4,0,1,6363,60,1653,44.88448845,51.48514851,3.033160459,0.015715857,0.440044004,0.015715857,0,0.015715857,0.031431715,0.062863429,0,0.015715857,17.89181404,2,1,3,7,4,7,11,7,6,5,11,7,정의
1100,서울특별시,1103,용산구,후암동,후암동,서울특별시_용산구_후암동,1103051,13481,9953,4853,4642,290,3,50,5,0,2,6,8,6,0,9865,88,3528,49.19412063,47.05524582,2.939685758,0.030410542,0.506842372,0.050684237,0,0.020273695,0.060821085,0.08109478,0.060821085,0,17.81815753,1,2,3,9,4,8,11,10,6,5,6,11,정의
1100,서울특별시,1104,성동구,금호1가동,금호1가동,서울특별시_성동구_금호1가동,1104059,11395,8615,3669,4609,202,3,36,2,0,1,8,4,3,1,8538,77,2780,42.97259311,53.98219724,2.365893652,0.035137034,0.421644413,0.02342469,0,0.011712345,0.093698758,0.046849379,0.035137034,0.011712345,18.10427562,2,1,3,7,4,9,12,10,5,6,7,10,정의
1100,서울특별시,1104,성동구,금호2·3가동,금호2·3가동,서울특별시_성동구_금호2·3가동,1104072,17159,12722,5545,6659,320,9,54,3,2,0,9,8,3,6,12618,104,4437,43.94515771,52.77381518,2.536059597,0.071326676,0.427960057,0.023775559,0.015850372,0,0.071326676,0.06340149,0.023775559,0.047551117,18.00359156,2,1,3,5,4,9,11,12,5,7,9,8,정의
1100,서울특별시,1104,성동구,금호4가동,금호4가동,서울특별시_성동구_금호4가동,1104062,11719,9107,3727,5049,193,4,50,2,1,5,3,8,1,5,9048,59,2612,41.19142352,55.80238727,2.133068081,0.044208665,0.552608311,0.022104332,0.011052166,0.055260831,0.033156499,0.08841733,0.011052166,0.055260831,18.21670371,2,1,3,8,4,10,11,6,9,5,11,6,정의
1100,서울특별시,1104,성동구,마장동,마장동,서울특별시_성동구_마장동,1104054,17471,13080,6010,6415,362,5,90,5,1,4,16,11,0,4,12923,157,4391,46.5062292,49.64017643,2.80120715,0.038690706,0.696432717,0.038690706,0.007738141,0.030952565,0.123810261,0.085119554,0,0.030952565,17.7998185,2,1,3,7,4,7,11,9,5,6,12,9,정의
1100,서울특별시,1104,성동구,사근동,사근동,서울특별시_성동구_사근동,1104055,8737,6159,2597,3160,212,9,38,1,0,4,1,4,1,3,6030,129,2578,43.06799337,52.40464345,3.515754561,0.149253731,0.630182421,0.016583748,0,0.066334992,0.016583748,0.066334992,0.016583748,0.049751244,17.74954791,2,1,3,5,4,9,12,6,9,6,9,8,정의
1100,서울특별시,1104,성동구,성수1가제1동,성수1가1동,서울특별시_성동구_성수1가1동,1104065,12061,8894,3419,5080,253,4,42,0,2,3,4,5,1,1,8814,80,3167,38.79056047,57.63557976,2.870433401,0.045382346,0.476514636,0,0.022691173,0.03403676,0.045382346,0.056727933,0.011345587,0.011345587,18.26132075,2,1,3,6,4,12,9,8,6,5,10,10,정의
1100,서울특별시,1104,성동구,성수1가제2동,성수1가2동,서울특별시_성동구_성수1가2동,1104066,11161,8997,3735,4811,302,4,38,4,0,2,2,9,2,3,8912,85,2164,41.90978456,53.98339318,3.388689408,0.044883303,0.426391382,0.044883303,0,0.022441652,0.022441652,0.100987433,0.022441652,0.033662478,17.90946059,2,1,3,6,4,6,12,9,9,5,9,8,정의
1100,서울특별시,1104,성동구,성수2가제1동,성수2가1동,서울특별시_성동구_성수2가1동,1104067,13255,9814,4280,5106,254,6,52,3,2,4,7,9,1,4,9728,86,3441,43.99671053,52.48766447,2.611019737,0.061677632,0.534539474,0.030838816,0.020559211,0.041118421,0.071957237,0.092516447,0.010279605,0.041118421,17.94542115,2,1,3,7,4,10,11,8,6,5,12,8,정의
1100,서울특별시,1104,성동구,성수2가제3동,성수2가3동,서울특별시_성동구_성수2가3동,1104068,8984,6829,2790,3742,174,5,43,1,1,1,2,5,0,3,6767,62,2155,41.22949608,55.29776858,2.571301906,0.073887986,0.635436678,0.014777597,0.014777597,0.014777597,0.029555194,0.073887986,0,0.044332791,18.10020951,2,1,3,5,4,9,9,9,8,5,12,7,정의
1100,서울특별시,1104,성동구,송정동,송정동,서울특별시_성동구_송정동,1104069,8401,5932,2881,2776,159,8,31,1,0,0,6,3,2,1,5868,64,2469,49.09679618,47.30743013,2.709611452,0.136332652,0.528289025,0.017041581,0,0,0.102249489,0.051124744,0.034083163,0.017041581,17.84845812,1,2,3,5,4,9,11,11,6,7,8,9,정의
1100,서울특별시,1104,성동구,옥수동,옥수동,서울특별시_성동구_옥수동,1104073,19705,15269,5114,9615,354,11,49,3,4,3,13,6,3,3,15178,91,4436,33.69350376,63.34826723,2.332323099,0.072473317,0.322835683,0.01976545,0.026353933,0.01976545,0.085650283,0.0395309,0.01976545,0.01976545,18.97472482,2,1,3,6,4,9,8,9,5,7,9,9,정의
1100,서울특별시,1104,성동구,왕십리도선동,왕십리도선동,서울특별시_성동구_왕십리도선동,1104071,20176,15381,6374,8326,436,4,66,5,2,0,7,9,3,4,15236,145,4795,41.83512733,54.64688895,2.861643476,0.02625361,0.433184563,0.032817012,0.013126805,0,0.045943817,0.059070622,0.019690207,0.02625361,18.05434455,2,1,3,8,4,7,11,12,6,5,10,8,정의
1100,서울특별시,1104,성동구,왕십리제2동,왕십리2동,서울특별시_성동구_왕십리2동,1104052,13477,10436,4998,4916,337,10,46,4,1,3,8,11,3,2,10339,97,3041,48.34123223,47.54811877,3.259502853,0.096721153,0.444917303,0.038688461,0.009672115,0.029016346,0.077376922,0.106393268,0.029016346,0.019344231,17.73700844,1,2,3,6,4,8,12,9,7,5,9,11,정의
